sequence_id,family,host,cluster,umap_x,umap_y
KF041260.1,flaviviridae,human,157,-2.7363875,10.505585
KF056331.1,flaviviridae,non-human,172,-1.609479,9.8046055
KF151173.1,flaviviridae,non-human,82,-0.16841698,11.594342
KF179639.1,flaviviridae,human,217,9.723508,8.712714
KF192951.1,flaviviridae,non-human,27,8.865389,6.159906
KF234080.1,flaviviridae,human,153,7.9975243,12.04784
KF289072.1,flaviviridae,human,170,-6.8588166,6.4446297
KF289073.1,flaviviridae,human,21,-6.348482,5.800637
KF297915.1,flaviviridae,non-human,27,9.252357,7.112222
KF297916.1,flaviviridae,non-human,27,9.165469,7.1871676
KF360005.1,flaviviridae,human,141,10.123852,5.9149284
KF501393.1,flaviviridae,non-human,14,4.5400357,10.8853655
KF573410.1,flaviviridae,non-human,164,-1.5300913,1.2293758
KF573582.1,flaviviridae,non-human,27,8.771997,6.0522428
KF588365.1,flaviviridae,human,161,-0.56612146,0.64203626
KF647249.1,flaviviridae,human,161,-0.5178022,0.62725
KF647251.1,flaviviridae,human,161,-0.54661167,0.6628097
KF647253.1,flaviviridae,human,153,8.009416,12.042622
KF669877.1,flaviviridae,non-human,152,5.359218,11.480739
KF676351.1,flaviviridae,human,136,-3.5015473,11.694554
KF676352.1,flaviviridae,non-human,136,-3.5039625,11.6943
KF693776.1,flaviviridae,non-human,136,-3.5111556,11.704902
KF693777.1,flaviviridae,non-human,136,-3.5043406,11.704848
KF693778.1,flaviviridae,non-human,136,-3.5120232,11.710887
KF693779.1,flaviviridae,non-human,136,-3.497877,11.699598
KF693780.1,flaviviridae,non-human,136,-3.523806,11.718693
KF693781.1,flaviviridae,non-human,136,-3.508326,11.702744
KF693782.1,flaviviridae,non-human,136,-3.5158951,11.711398
KF693783.1,flaviviridae,non-human,136,-3.5112312,11.705133
KF704147.1,flaviviridae,non-human,169,6.479151,12.637975
KF704153.1,flaviviridae,non-human,169,6.74921,12.827737
KF704158.1,flaviviridae,non-human,169,6.8853903,12.924589
KF751869.1,flaviviridae,non-human,27,8.705642,7.2807226
KF751870.1,flaviviridae,human,27,8.705442,7.3091574
KF769015.1,flaviviridae,non-human,111,-2.873613,6.805448
KF769016.1,flaviviridae,non-human,111,-2.8403814,6.829123
KF772785.1,flaviviridae,non-human,14,4.537124,10.8804
KF824902.1,flaviviridae,human,165,1.8221935,14.068803
KF824903.1,flaviviridae,human,165,1.8543862,14.041998
KF826767.1,flaviviridae,non-human,27,8.873204,6.1619353
KF907503.1,flaviviridae,human,157,-2.6657846,10.557207
KF907505.1,flaviviridae,non-human,128,-7.9661126,7.3369293
KF917535.1,flaviviridae,non-human,157,-2.8162644,10.4411955
KF917536.1,flaviviridae,non-human,27,9.175626,7.178774
KF917537.1,flaviviridae,non-human,27,8.88522,6.6908298
KF917538.1,flaviviridae,non-human,27,8.976761,6.6326003
KF917539.1,flaviviridae,non-human,27,8.882913,6.6560483
KF917540.1,flaviviridae,non-human,27,8.877212,6.5210166
KF917541.1,flaviviridae,non-human,161,-0.83966166,0.88625216
KF918753.1,flaviviridae,non-human,14,4.838724,10.7654505
KF921911.1,flaviviridae,human,127,3.4764516,-3.6993425
KF921916.1,flaviviridae,human,211,4.682388,12.24827
KF921933.1,flaviviridae,human,68,3.9990273,15.836802
KF921934.1,flaviviridae,human,176,13.593115,3.705623
KF921935.1,flaviviridae,human,184,11.587464,8.200734
KF921942.1,flaviviridae,human,187,-9.01748,2.5851398
KF921949.1,flaviviridae,human,187,-8.979828,2.617566
KF925348.1,flaviviridae,non-human,14,4.852641,10.777474
KF951037.1,flaviviridae,human,148,7.784562,9.720355
KF954945.1,flaviviridae,human,225,3.0972023,-2.7696445
KF954946.1,flaviviridae,human,225,3.098437,-2.7698212
KF954947.1,flaviviridae,human,225,3.096042,-2.7702863
KF954948.1,flaviviridae,human,225,3.096994,-2.7687886
KF954949.1,flaviviridae,human,225,3.093065,-2.764339
KF955332.1,flaviviridae,human,165,1.6352202,14.180785
KF955333.1,flaviviridae,human,165,1.2734752,14.216846
KF955359.1,flaviviridae,human,144,-6.5325785,4.7666497
KF955360.1,flaviviridae,human,144,-6.4686007,4.678495
KF955362.1,flaviviridae,human,180,-4.2496066,18.31501
KF955363.1,flaviviridae,human,144,-5.9887247,3.9812174
KF955364.1,flaviviridae,human,144,-6.5394406,4.77213
KF955365.1,flaviviridae,human,196,-5.510134,16.933495
KF955366.1,flaviviridae,human,200,11.068844,2.2979012
KF955369.1,flaviviridae,human,200,11.0681305,2.297176
KF955372.1,flaviviridae,human,144,-6.302051,4.4574413
KF955373.1,flaviviridae,human,144,-6.3724165,4.545277
KF955395.1,flaviviridae,human,155,-0.80558777,-0.5439715
KF955401.1,flaviviridae,human,209,-7.131276,14.444025
KF955402.1,flaviviridae,human,209,-7.131435,14.443589
KF955427.1,flaviviridae,human,212,-4.482429,4.5107307
KF955442.1,flaviviridae,human,199,-1.6956105,3.663428
KF955443.1,flaviviridae,human,199,-1.6976011,3.666162
KF955444.1,flaviviridae,human,188,9.020796,10.405241
KF955446.1,flaviviridae,human,187,-9.013981,2.574562
KF955449.1,flaviviridae,human,198,-0.5606024,12.29128
KF955451.1,flaviviridae,human,198,-0.66609836,12.390435
KF955453.1,flaviviridae,human,198,-0.67642576,12.400158
KF955454.1,flaviviridae,human,198,-0.63051486,12.354968
KF955456.1,flaviviridae,human,193,5.4569874,7.0867424
KF955457.1,flaviviridae,human,182,-6.0373783,17.908405
KF955458.1,flaviviridae,human,182,-6.092376,17.907482
KF955459.1,flaviviridae,human,182,-6.0256686,17.91835
KF955460.1,flaviviridae,human,182,-6.0356154,17.911697
KF955461.1,flaviviridae,human,165,1.3541163,14.199207
KF955462.1,flaviviridae,human,165,1.635286,14.180381
KF955463.1,flaviviridae,human,165,1.6354429,14.178283
KF955464.1,flaviviridae,human,165,1.1950599,14.17005
KF955465.1,flaviviridae,human,191,-0.33267117,10.7372265
KF955466.1,flaviviridae,human,191,-0.33037937,10.736862
KF955468.1,flaviviridae,human,191,-0.32302165,10.731159
KF955471.1,flaviviridae,human,198,-0.65973413,12.38298
KF955472.1,flaviviridae,human,198,-0.6685407,12.393964
KF955473.1,flaviviridae,human,160,-0.66127014,15.643747
KF955474.1,flaviviridae,human,191,-0.2825397,10.706478
KF955476.1,flaviviridae,human,165,1.7806807,14.077528
KF955477.1,flaviviridae,human,165,1.7461902,14.103721
KF955479.1,flaviviridae,human,198,-0.66027874,12.386536
KF955486.1,flaviviridae,human,198,-0.6590587,12.382292
KF955487.1,flaviviridae,human,198,-0.63667107,12.360534
KF955505.1,flaviviridae,human,160,-0.6604354,15.646698
KF955507.1,flaviviridae,human,165,1.2150327,14.172621
KF955510.1,flaviviridae,human,157,-2.814686,10.445799
KF971869.1,flaviviridae,human,48,5.0017214,13.594985
KF971870.1,flaviviridae,human,48,4.9954357,13.590769
KF971871.1,flaviviridae,human,48,5.0002275,13.592863
KF973453.1,flaviviridae,human,2,0.8972677,2.2479012
KF973454.1,flaviviridae,human,197,9.186587,4.290838
KF973455.1,flaviviridae,human,197,9.185915,4.2930093
KF973456.1,flaviviridae,human,197,9.184164,4.291216
KF973457.1,flaviviridae,human,2,0.89084685,2.2459867
KF973458.1,flaviviridae,human,197,9.184121,4.2926445
KF973459.1,flaviviridae,human,2,0.89520544,2.2460124
KF973460.1,flaviviridae,human,197,9.184027,4.294579
KF973461.1,flaviviridae,human,2,0.89286244,2.245749
KF973462.1,flaviviridae,human,2,0.8972666,2.2491434
KF973463.1,flaviviridae,human,197,9.184046,4.291868
KF973464.1,flaviviridae,human,2,0.8886411,2.2434883
KF973465.1,flaviviridae,human,2,0.8925763,2.2469037
KF973466.1,flaviviridae,human,197,9.184531,4.2923117
KF973467.1,flaviviridae,human,197,9.183823,4.292261
KF973468.1,flaviviridae,human,2,0.8909689,2.245115
KF973469.1,flaviviridae,human,2,0.88038146,2.2522666
KF973470.1,flaviviridae,human,2,0.8872744,2.2466989
KF973471.1,flaviviridae,human,2,0.8893862,2.2386203
KF973472.1,flaviviridae,human,197,9.186501,4.2929554
KF973473.1,flaviviridae,human,197,9.183227,4.2924337
KF973474.1,flaviviridae,human,197,9.183376,4.287265
KF973475.1,flaviviridae,human,197,9.183692,4.2918997
KF973476.1,flaviviridae,human,210,10.071644,-0.41505876
KF973477.1,flaviviridae,human,211,4.645048,12.28595
KF973478.1,flaviviridae,human,211,4.678176,12.253806
KF973479.1,flaviviridae,human,211,4.68291,12.249907
KF973480.1,flaviviridae,human,211,4.6998625,12.2176485
KF973481.1,flaviviridae,human,211,4.6769457,12.250838
KF973482.1,flaviviridae,human,211,4.675157,12.255847
KF973483.1,flaviviridae,human,210,10.077559,-0.42164603
KF973484.1,flaviviridae,human,211,4.675483,12.2559595
KF973485.1,flaviviridae,human,211,4.6641817,12.264923
KF973486.1,flaviviridae,human,211,4.6771617,12.252067
KF973487.1,flaviviridae,human,210,10.076018,-0.42053854
KJ000002.1,flaviviridae,human,82,-0.16876575,11.596041
KJ000672.1,flaviviridae,non-human,14,5.108807,10.481698
KJ001579.1,flaviviridae,non-human,226,-1.9626034,10.297214
KJ001580.1,flaviviridae,non-human,227,8.892447,-1.3472111
KJ001581.1,flaviviridae,non-human,228,-6.6405945,2.4428246
KJ001582.1,flaviviridae,non-human,134,3.2147543,14.771582
KJ010185.1,flaviviridae,human,141,10.121003,5.945202
KJ010186.1,flaviviridae,human,141,10.122919,5.93024
KJ145799.1,flaviviridae,non-human,215,6.005035,2.7004986
KJ145827.1,flaviviridae,non-human,215,5.840509,2.8199825
KJ145828.1,flaviviridae,non-human,215,5.8642893,2.880852
KJ145829.1,flaviviridae,non-human,215,5.868005,2.818236
KJ145832.1,flaviviridae,non-human,215,5.8527007,2.8112884
KJ152564.1,flaviviridae,non-human,27,8.862501,6.5324144
KJ160504.1,flaviviridae,human,157,-2.6658702,10.557795
KJ160505.1,flaviviridae,non-human,191,-0.2830879,10.710683
KJ189256.1,flaviviridae,human,204,13.018495,10.473198
KJ189257.1,flaviviridae,human,204,13.017138,10.4748125
KJ189258.1,flaviviridae,human,204,13.010583,10.473067
KJ189259.1,flaviviridae,human,204,13.012434,10.473229
KJ189260.1,flaviviridae,human,204,13.018496,10.46977
KJ189261.1,flaviviridae,human,142,3.0379276,12.263797
KJ189262.1,flaviviridae,human,204,13.019368,10.47136
KJ189263.1,flaviviridae,human,204,13.010511,10.473115
KJ189264.1,flaviviridae,human,204,13.010037,10.473232
KJ189265.1,flaviviridae,human,204,13.01408,10.476545
KJ189266.1,flaviviridae,human,204,12.982185,10.506992
KJ189267.1,flaviviridae,human,142,3.0313525,12.236732
KJ189268.1,flaviviridae,human,142,3.0415874,12.259389
KJ189269.1,flaviviridae,human,142,3.049409,12.240723
KJ189270.1,flaviviridae,human,142,3.052744,12.238106
KJ189271.1,flaviviridae,human,142,3.0491638,12.241548
KJ189272.1,flaviviridae,human,142,3.0400257,12.259388
KJ189273.1,flaviviridae,human,142,3.0522418,12.2821245
KJ189274.1,flaviviridae,human,142,3.035218,12.364529
KJ189275.1,flaviviridae,human,142,3.0344677,12.303926
KJ189276.1,flaviviridae,human,142,3.0419984,12.264234
KJ189277.1,flaviviridae,human,142,3.0404317,12.259828
KJ189278.1,flaviviridae,human,142,3.0354455,12.256783
KJ189279.1,flaviviridae,human,142,3.0541246,12.239299
KJ189280.1,flaviviridae,human,142,3.0768077,12.227587
KJ189281.1,flaviviridae,human,142,3.0509043,12.24105
KJ189282.1,flaviviridae,human,142,3.0424764,12.261261
KJ189283.1,flaviviridae,human,142,3.0347712,12.281181
KJ189284.1,flaviviridae,human,142,3.0544002,12.233536
KJ189285.1,flaviviridae,human,142,3.0576181,12.2386465
KJ189286.1,flaviviridae,human,142,3.0523863,12.243845
KJ189287.1,flaviviridae,human,142,3.0410624,12.251588
KJ189288.1,flaviviridae,human,142,3.0401978,12.262585
KJ189289.1,flaviviridae,human,142,3.0396981,12.257992
KJ189290.1,flaviviridae,human,142,3.035853,12.280803
KJ189291.1,flaviviridae,human,142,3.0355551,12.275867
KJ189292.1,flaviviridae,human,142,3.0737617,12.223132
KJ189293.1,flaviviridae,human,142,3.0553455,12.241634
KJ189294.1,flaviviridae,human,142,3.0273938,12.2588415
KJ189295.1,flaviviridae,human,142,3.0564022,12.234839
KJ189296.1,flaviviridae,human,142,3.0378664,12.262809
KJ189297.1,flaviviridae,human,142,3.040983,12.260582
KJ189298.1,flaviviridae,human,142,3.031025,12.257839
KJ189299.1,flaviviridae,human,142,3.009067,12.290991
KJ189300.1,flaviviridae,human,142,3.036664,12.266393
KJ189301.1,flaviviridae,human,142,3.039967,12.261097
KJ189302.1,flaviviridae,human,197,9.388186,4.1816187
KJ189303.1,flaviviridae,human,197,9.419509,4.182361
KJ189304.1,flaviviridae,human,197,9.423726,4.182149
KJ189305.1,flaviviridae,human,155,-0.66747355,-0.62547535
KJ189306.1,flaviviridae,human,212,-4.4401526,4.4944634
KJ189307.1,flaviviridae,human,212,-4.4456315,4.4927535
KJ189308.1,flaviviridae,non-human,155,-0.6888948,-0.61275285
KJ189309.1,flaviviridae,non-human,155,-0.68953395,-0.6188268
KJ189310.1,flaviviridae,human,155,-0.80648476,-0.5445493
KJ189311.1,flaviviridae,human,155,-0.8015335,-0.54511887
KJ189312.1,flaviviridae,non-human,212,-4.47227,4.500812
KJ189313.1,flaviviridae,non-human,199,-1.7104256,3.6717706
KJ189314.1,flaviviridae,non-human,212,-4.5131526,4.4947824
KJ189315.1,flaviviridae,non-human,212,-4.439848,4.493578
KJ189316.1,flaviviridae,non-human,212,-4.5204806,4.491407
KJ189317.1,flaviviridae,human,212,-4.438684,4.491006
KJ189318.1,flaviviridae,human,199,-1.7202126,3.6831336
KJ189319.1,flaviviridae,human,199,-1.7159871,3.6684465
KJ189320.1,flaviviridae,human,199,-1.7123066,3.6666312
KJ189321.1,flaviviridae,human,199,-1.7158121,3.6710658
KJ189322.1,flaviviridae,human,212,-4.4381285,4.491118
KJ189323.1,flaviviridae,human,212,-4.4507384,4.495803
KJ189324.1,flaviviridae,human,212,-4.444422,4.4947762
KJ189325.1,flaviviridae,human,212,-4.5074153,4.493301
KJ189326.1,flaviviridae,human,212,-4.4940677,4.494836
KJ189327.1,flaviviridae,human,199,-1.7168995,3.6688113
KJ189328.1,flaviviridae,human,199,-1.724369,3.6273797
KJ189329.1,flaviviridae,human,212,-4.472494,4.4983077
KJ189330.1,flaviviridae,human,212,-4.4298763,4.4904165
KJ189331.1,flaviviridae,human,199,-1.7241535,3.6886306
KJ189332.1,flaviviridae,human,199,-1.7259237,3.6926632
KJ189333.1,flaviviridae,human,199,-1.7232919,3.6925178
KJ189334.1,flaviviridae,human,212,-4.444306,4.4995975
KJ189335.1,flaviviridae,human,212,-4.44363,4.500139
KJ189336.1,flaviviridae,human,212,-4.446285,4.49499
KJ189337.1,flaviviridae,human,199,-1.7494134,3.7095351
KJ189338.1,flaviviridae,human,199,-1.7151512,3.6765423
KJ189339.1,flaviviridae,human,199,-1.718004,3.6768715
KJ189340.1,flaviviridae,human,212,-4.4468703,4.493628
KJ189341.1,flaviviridae,human,199,-1.7865115,3.6171527
KJ189342.1,flaviviridae,human,199,-1.7464964,3.644054
KJ189343.1,flaviviridae,human,199,-1.7212477,3.6927586
KJ189344.1,flaviviridae,human,212,-4.446018,4.497527
KJ189345.1,flaviviridae,human,199,-1.7255672,3.686665
KJ189346.1,flaviviridae,human,212,-4.4617457,4.4980283
KJ189347.1,flaviviridae,human,212,-4.4503174,4.495061
KJ189348.1,flaviviridae,human,197,9.190483,4.289975
KJ189349.1,flaviviridae,human,197,9.189535,4.289456
KJ189350.1,flaviviridae,human,194,-7.093937,3.4238489
KJ189351.1,flaviviridae,human,194,-7.1835585,3.513058
KJ189352.1,flaviviridae,human,194,-7.0983076,3.4233382
KJ189353.1,flaviviridae,human,194,-7.1021442,3.4325595
KJ189354.1,flaviviridae,human,194,-7.0957813,3.4266534
KJ189355.1,flaviviridae,human,194,-7.096362,3.4216468
KJ189356.1,flaviviridae,human,194,-7.0981846,3.4231539
KJ189357.1,flaviviridae,human,194,-7.067508,3.3948903
KJ189358.1,flaviviridae,human,194,-7.1828737,3.5123048
KJ189359.1,flaviviridae,human,194,-7.18227,3.510912
KJ189360.1,flaviviridae,human,194,-7.0998144,3.4255307
KJ189361.1,flaviviridae,human,194,-7.0917816,3.4190516
KJ189362.1,flaviviridae,human,194,-7.0954323,3.4201539
KJ189363.1,flaviviridae,human,194,-7.0897083,3.4156067
KJ189364.1,flaviviridae,human,194,-7.096557,3.4267547
KJ189365.1,flaviviridae,human,194,-7.0695963,3.3973613
KJ189366.1,flaviviridae,human,194,-7.0914874,3.4286063
KJ189367.1,flaviviridae,human,194,-7.096564,3.4189074
KJ189368.1,flaviviridae,human,212,-4.4519224,4.4989023
KJ189369.1,flaviviridae,human,212,-4.4526553,4.484014
KJ189370.1,flaviviridae,human,195,-5.29502,7.2681513
KJ210048.1,flaviviridae,non-human,161,-0.5149732,0.8852779
KJ438293.1,flaviviridae,human,47,2.0095305,12.508827
KJ438296.1,flaviviridae,human,48,5.0005507,13.595854
KJ438705.1,flaviviridae,non-human,163,9.081358,-0.44846168
KJ438706.1,flaviviridae,non-human,163,9.084946,-0.44818878
KJ438707.1,flaviviridae,non-human,163,9.082307,-0.44579583
KJ438708.1,flaviviridae,non-human,163,9.081245,-0.44903487
KJ438709.1,flaviviridae,non-human,163,9.080555,-0.45216677
KJ438710.1,flaviviridae,non-human,163,9.083315,-0.45034748
KJ438711.1,flaviviridae,non-human,163,9.084384,-0.4445366
KJ438712.1,flaviviridae,non-human,163,9.082464,-0.4477108
KJ438713.1,flaviviridae,non-human,163,9.078038,-0.45181575
KJ438714.1,flaviviridae,non-human,163,9.083747,-0.44772413
KJ438715.1,flaviviridae,non-human,163,9.083415,-0.44892293
KJ438716.1,flaviviridae,non-human,163,9.083057,-0.44860685
KJ438717.1,flaviviridae,non-human,163,9.083526,-0.45055002
KJ438718.1,flaviviridae,non-human,163,9.06846,-0.47270912
KJ438719.1,flaviviridae,non-human,163,9.078628,-0.45116675
KJ438720.1,flaviviridae,non-human,163,9.083795,-0.45069307
KJ438721.1,flaviviridae,non-human,163,9.078181,-0.45270813
KJ438722.1,flaviviridae,non-human,163,9.080961,-0.45097026
KJ438723.1,flaviviridae,non-human,163,9.088079,-0.4375311
KJ438724.1,flaviviridae,non-human,163,9.09075,-0.44136757
KJ438725.1,flaviviridae,non-human,163,9.088285,-0.4410635
KJ438726.1,flaviviridae,non-human,163,9.0866785,-0.4413182
KJ438727.1,flaviviridae,non-human,163,9.087308,-0.4397819
KJ438728.1,flaviviridae,non-human,163,9.086715,-0.452214
KJ438729.1,flaviviridae,non-human,163,9.089332,-0.4546423
KJ438730.1,flaviviridae,non-human,163,9.068505,-0.4620029
KJ438731.1,flaviviridae,non-human,163,9.112761,-0.41634226
KJ438732.1,flaviviridae,non-human,163,9.052989,-0.4780314
KJ438733.1,flaviviridae,non-human,163,9.074619,-0.45684642
KJ438734.1,flaviviridae,non-human,163,9.087254,-0.43139878
KJ438735.1,flaviviridae,non-human,163,9.078923,-0.45087865
KJ438736.1,flaviviridae,non-human,163,9.082108,-0.45047295
KJ438737.1,flaviviridae,non-human,163,9.081695,-0.44932967
KJ438738.1,flaviviridae,non-human,163,9.077812,-0.45324776
KJ438739.1,flaviviridae,non-human,163,9.080505,-0.44979104
KJ438740.1,flaviviridae,non-human,163,9.079806,-0.45160392
KJ438741.1,flaviviridae,non-human,163,9.082354,-0.44744623
KJ438742.1,flaviviridae,non-human,163,9.088326,-0.45138192
KJ438743.1,flaviviridae,non-human,163,9.080563,-0.43952617
KJ438744.1,flaviviridae,non-human,163,9.083633,-0.44603866
KJ438745.1,flaviviridae,non-human,163,9.075745,-0.45529786
KJ438746.1,flaviviridae,non-human,163,9.096353,-0.4246951
KJ438747.1,flaviviridae,non-human,163,9.081511,-0.44859457
KJ438748.1,flaviviridae,non-human,163,9.081901,-0.44721907
KJ438749.1,flaviviridae,non-human,163,9.083863,-0.44776252
KJ438750.1,flaviviridae,non-human,163,9.080473,-0.44824225
KJ438751.1,flaviviridae,non-human,163,9.0827675,-0.45016608
KJ438752.1,flaviviridae,non-human,163,9.084247,-0.434735
KJ438753.1,flaviviridae,non-human,163,9.082294,-0.4475926
KJ438754.1,flaviviridae,non-human,163,9.083981,-0.44991815
KJ438755.1,flaviviridae,non-human,163,9.081755,-0.44973764
KJ438756.1,flaviviridae,non-human,163,9.090428,-0.46181402
KJ438757.1,flaviviridae,non-human,163,9.082575,-0.44883308
KJ438758.1,flaviviridae,non-human,163,9.078904,-0.45325488
KJ438759.1,flaviviridae,non-human,163,9.079224,-0.45252466
KJ438760.1,flaviviridae,non-human,163,9.082823,-0.4488576
KJ438761.1,flaviviridae,non-human,163,9.078348,-0.45142895
KJ438762.1,flaviviridae,non-human,163,9.081848,-0.4491203
KJ438763.1,flaviviridae,non-human,163,9.075919,-0.45693237
KJ438764.1,flaviviridae,non-human,163,9.080515,-0.45334822
KJ438765.1,flaviviridae,non-human,163,9.077889,-0.44674033
KJ438766.1,flaviviridae,non-human,163,9.083577,-0.45081237
KJ438767.1,flaviviridae,non-human,229,-0.3143073,13.376458
KJ438768.1,flaviviridae,non-human,229,-0.3142142,13.377693
KJ438769.1,flaviviridae,non-human,229,-0.31471926,13.376474
KJ438770.1,flaviviridae,non-human,229,-0.31482112,13.377214
KJ438771.1,flaviviridae,non-human,229,-0.31521967,13.377133
KJ438772.1,flaviviridae,non-human,229,-0.3149441,13.377402
KJ438773.1,flaviviridae,non-human,229,-0.31444076,13.376358
KJ438774.1,flaviviridae,non-human,229,-0.31570172,13.377719
KJ438775.1,flaviviridae,non-human,229,-0.31469923,13.376748
KJ438776.1,flaviviridae,non-human,229,-0.31961137,13.380271
KJ438777.1,flaviviridae,non-human,229,-0.3157736,13.378334
KJ438778.1,flaviviridae,non-human,229,-0.31487143,13.376599
KJ438779.1,flaviviridae,non-human,229,-0.31376868,13.376247
KJ438780.1,flaviviridae,non-human,163,9.062157,-0.466443
KJ438781.1,flaviviridae,non-human,163,9.075488,-0.45419666
KJ463422.1,flaviviridae,non-human,14,4.821903,10.762183
KJ463423.1,flaviviridae,non-human,14,4.8081355,10.794055
KJ469370.1,flaviviridae,non-human,2,0.504958,8.075411
KJ469371.1,flaviviridae,non-human,2,0.522247,8.062738
KJ489355.1,flaviviridae,non-human,27,8.845514,6.136471
KJ495985.1,flaviviridae,human,172,-1.6095152,9.793612
KJ501096.1,flaviviridae,non-human,169,7.240489,13.2187805
KJ501098.1,flaviviridae,non-human,169,7.228031,13.208173
KJ501099.1,flaviviridae,non-human,169,6.4525366,12.629874
KJ501100.1,flaviviridae,non-human,169,7.2389436,13.216748
KJ501101.1,flaviviridae,non-human,169,6.465837,12.635071
KJ501102.1,flaviviridae,non-human,169,6.4900594,12.650401
KJ501103.1,flaviviridae,non-human,169,7.2369757,13.215731
KJ501104.1,flaviviridae,non-human,169,7.260568,13.233792
KJ501105.1,flaviviridae,non-human,169,7.242264,13.21868
KJ501106.1,flaviviridae,non-human,169,6.470471,12.635954
KJ501107.1,flaviviridae,non-human,169,7.2427797,13.222923
KJ501108.1,flaviviridae,non-human,169,6.476852,12.640295
KJ501109.1,flaviviridae,non-human,169,6.4407196,12.616902
KJ501110.1,flaviviridae,non-human,169,6.4483666,12.616968
KJ501111.1,flaviviridae,non-human,169,6.4635644,12.628257
KJ501112.1,flaviviridae,non-human,215,5.8992376,2.834359
KJ501113.1,flaviviridae,non-human,169,6.494247,12.652534
KJ501114.1,flaviviridae,non-human,169,6.4559135,12.626711
KJ501115.1,flaviviridae,non-human,169,7.241507,13.219488
KJ501116.1,flaviviridae,non-human,169,7.2393837,13.218778
KJ501119.1,flaviviridae,non-human,169,7.2400036,13.217927
KJ501123.1,flaviviridae,non-human,169,7.242332,13.220409
KJ501125.1,flaviviridae,non-human,169,7.250697,13.226403
KJ501126.1,flaviviridae,non-human,169,6.469882,12.634526
KJ501127.1,flaviviridae,non-human,169,7.28665,13.261994
KJ501128.1,flaviviridae,non-human,109,-2.1359458,8.406168
KJ501129.1,flaviviridae,non-human,169,7.234669,13.214417
KJ501130.1,flaviviridae,non-human,169,7.2530417,13.229618
KJ501131.1,flaviviridae,non-human,169,7.2447467,13.223723
KJ501132.1,flaviviridae,non-human,169,7.2391715,13.216387
KJ501133.1,flaviviridae,non-human,169,7.256821,13.233002
KJ501134.1,flaviviridae,non-human,169,7.266569,13.238724
KJ501135.1,flaviviridae,non-human,169,7.314137,13.288061
KJ501136.1,flaviviridae,non-human,169,7.3093376,13.283508
KJ501137.1,flaviviridae,non-human,169,7.3061023,13.280157
KJ501138.1,flaviviridae,non-human,169,7.334923,13.306151
KJ501139.1,flaviviridae,non-human,169,7.2509747,13.224708
KJ501140.1,flaviviridae,non-human,169,7.3130083,13.28781
KJ501141.1,flaviviridae,non-human,169,7.3198686,13.292153
KJ501142.1,flaviviridae,non-human,169,7.3136034,13.291171
KJ501143.1,flaviviridae,non-human,169,7.291815,13.268173
KJ501144.1,flaviviridae,non-human,169,7.2484946,13.223237
KJ501146.1,flaviviridae,non-human,169,7.269602,13.236808
KJ501147.1,flaviviridae,non-human,169,7.240333,13.2162695
KJ501148.1,flaviviridae,non-human,169,7.2523847,13.229618
KJ501149.1,flaviviridae,non-human,169,7.261513,13.235776
KJ501150.1,flaviviridae,non-human,169,7.2549424,13.231027
KJ501168.1,flaviviridae,non-human,169,6.4414825,12.611777
KJ501170.1,flaviviridae,non-human,215,5.8986325,2.8332913
KJ501186.1,flaviviridae,non-human,169,7.2351465,13.215469
KJ501195.1,flaviviridae,non-human,169,7.2342567,13.212298
KJ501206.1,flaviviridae,non-human,169,7.2430544,13.219511
KJ501211.1,flaviviridae,non-human,109,-2.1861837,8.372
KJ501214.1,flaviviridae,non-human,169,6.7808285,12.833482
KJ501217.1,flaviviridae,non-human,169,6.891755,12.971604
KJ501218.1,flaviviridae,non-human,215,5.8756356,2.8182259
KJ501220.1,flaviviridae,non-human,78,12.390244,12.950329
KJ501222.1,flaviviridae,non-human,169,6.7927456,12.863365
KJ501224.1,flaviviridae,non-human,109,-2.1044345,9.116536
KJ501225.1,flaviviridae,non-human,78,12.388449,12.947638
KJ501226.1,flaviviridae,non-human,78,12.386346,12.939273
KJ501229.1,flaviviridae,non-human,109,-2.128537,9.08346
KJ501230.1,flaviviridae,non-human,224,-2.4068768,0.65537673
KJ501233.1,flaviviridae,non-human,5,7.806503,4.9885216
KJ501234.1,flaviviridae,non-human,5,7.8062787,4.988179
KJ501235.1,flaviviridae,non-human,5,7.8066382,4.9897547
KJ501237.1,flaviviridae,non-human,169,6.84054,12.850374
KJ501239.1,flaviviridae,non-human,215,5.8961353,2.820111
KJ501241.1,flaviviridae,non-human,169,6.8114333,12.855015
KJ501242.1,flaviviridae,non-human,169,6.8002214,12.856296
KJ501243.1,flaviviridae,non-human,169,6.795756,12.8579445
KJ501244.1,flaviviridae,non-human,169,6.84301,12.900206
KJ501245.1,flaviviridae,non-human,169,6.7862897,12.841446
KJ501246.1,flaviviridae,non-human,169,6.778892,12.844231
KJ501247.1,flaviviridae,non-human,169,6.78236,12.842519
KJ501248.1,flaviviridae,non-human,169,6.804749,12.868314
KJ501249.1,flaviviridae,non-human,169,6.7765174,12.821206
KJ501250.1,flaviviridae,non-human,169,6.669601,12.751459
KJ501254.1,flaviviridae,non-human,169,6.8270373,12.87167
KJ501255.1,flaviviridae,non-human,169,6.770846,12.830924
KJ501256.1,flaviviridae,non-human,169,6.796117,12.854244
KJ501257.1,flaviviridae,non-human,169,6.859295,12.876525
