accession,organism,length,collection_date,country,strain,lineage,isolate,host,isolation_source,submission_date,batch
LC593813.1,Severe acute respiratory syndrome coronavirus 2,29897,2020/11/22,NA,NA,NA,TKYE630074_2020,Homo sapiens,NA,20-NOV-2020,1
LC593815.1,Severe acute respiratory syndrome coronavirus 2,29893,2020/11/22,NA,NA,NA,TKYT30095_2020,Homo sapiens,NA,20-NOV-2020,1
LC593810.1,Severe acute respiratory syndrome coronavirus 2,29899,2020/11/22,NA,NA,NA,TKYE624705_2020,Homo sapiens,NA,20-NOV-2020,1
LC593816.1,Severe acute respiratory syndrome coronavirus 2,29902,2020/11/22,NA,NA,NA,TKYT30408_2020,Homo sapiens,NA,20-NOV-2020,1
LC593809.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/11/22,NA,NA,NA,TKYE622414_2020,Homo sapiens,NA,20-NOV-2020,1
MT982402.1,Severe acute respiratory syndrome coronavirus 2,29867,2020/11/16,NA,NA,NA,SARS-CoV-2/human/USA/WA-RML-2/2020,Homo sapiens,nasal swab,16-NOV-2020,1
MW255832.1,Severe acute respiratory syndrome coronavirus 2,29904,2020/11/16,NA,NA,NA,SARS-CoV-2/human/GBR/Kunming_kms-3/2020,Homo sapiens,nasopharyngeal swab,16-NOV-2020,1
MT982405.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/11/16,NA,NA,NA,SARS-CoV-2/human/USA/WA-RML-3/2020,Homo sapiens,nasal swab,16-NOV-2020,1
MW240732.1,Severe acute respiratory syndrome coronavirus 2,29901,2020/11/10,NA,NA,NA,SARS-CoV-2/human/USA/MD-MDH-0268/2020,Homo sapiens,nasopharyngeal swab,10-NOV-2020,1
MW246623.1,Severe acute respiratory syndrome coronavirus 2,29824,2020/11/13,NA,NA,NA,SARS-CoV-2/human/USA/MN-MDH-1970/2020,Homo sapiens,nares,12-NOV-2020,1
MW295643.1,Severe acute respiratory syndrome coronavirus 2,29856,2020/11/26,NA,NA,NA,SARS-CoV-2/human/TUN/TUN-202058412/2020,Homo sapiens,nasopharyngeal swab,26-NOV-2020,1
MW295640.1,Severe acute respiratory syndrome coronavirus 2,29897,2020/11/26,NA,NA,NA,SARS-CoV-2/human/TUN/TUN-202055262/2020,Homo sapiens,nasopharyngeal swab,26-NOV-2020,1
MW295556.1,Severe acute respiratory syndrome coronavirus 2,29897,2020/11/26,NA,NA,NA,SARS-CoV-2/human/TUN/TUN-202053873/2020,Homo sapiens,nasopharyngeal swab,26-NOV-2020,1
MW301121.1,Severe acute respiratory syndrome coronavirus 2,29897,2020/11/28,NA,NA,NA,SARS-CoV-2/human/CHN/MY-001/2020,Homo sapiens,throat swab,28-NOV-2020,1
MW277560.1,Severe acute respiratory syndrome coronavirus 2,29840,2020/11/20,NA,NA,NA,SARS-CoV-2/human/AUS/VIC12055/2020,Homo sapiens,NA,20-NOV-2020,1
MW277242.1,Severe acute respiratory syndrome coronavirus 2,29832,2020/11/20,NA,NA,NA,SARS-CoV-2/human/AUS/VIC12541/2020,Homo sapiens,NA,20-NOV-2020,1
MW277107.1,Severe acute respiratory syndrome coronavirus 2,29813,2020/11/20,NA,NA,NA,SARS-CoV-2/human/AUS/VIC16105/2020,Homo sapiens,NA,20-NOV-2020,1
MW277389.1,Severe acute respiratory syndrome coronavirus 2,29813,2020/11/20,NA,NA,NA,SARS-CoV-2/human/AUS/VIC16679/2020,Homo sapiens,NA,20-NOV-2020,1
MW276708.1,Severe acute respiratory syndrome coronavirus 2,29813,2020/11/20,NA,NA,NA,SARS-CoV-2/human/AUS/VIC16240/2020,Homo sapiens,NA,20-NOV-2020,1
MW277013.1,Severe acute respiratory syndrome coronavirus 2,29818,2020/11/20,NA,NA,NA,SARS-CoV-2/human/AUS/VIC16081/2020,Homo sapiens,NA,20-NOV-2020,1
MW206041.1,Severe acute respiratory syndrome coronavirus 2,29782,2020/11/04,NA,NA,NA,SARS-CoV-2/human/USA/UT-08380/2020,Homo sapiens,NA,04-NOV-2020,1
MW206608.1,Severe acute respiratory syndrome coronavirus 2,29811,2020/11/04,NA,NA,NA,SARS-CoV-2/human/USA/FL-BPHL-1932/2020,Homo sapiens,NA,19-NOV-2021,1
MW206262.1,Severe acute respiratory syndrome coronavirus 2,29781,2020/11/04,NA,NA,NA,SARS-CoV-2/human/USA/UT-UPHL-2009341/2020,Homo sapiens,NA,04-NOV-2020,1
MW206104.1,Severe acute respiratory syndrome coronavirus 2,29782,2020/11/04,NA,NA,NA,SARS-CoV-2/human/USA/UT-08642/2020,Homo sapiens,NA,04-NOV-2020,1
MW327535.1,Severe acute respiratory syndrome coronavirus 2,29782,2020/12/04,NA,NA,NA,SARS-CoV-2/human/SRB/SU06217-23-04/2020,Homo sapiens,oronasopharynx,04-DEC-2020,1
MW327513.1,Severe acute respiratory syndrome coronavirus 2,29782,2020/12/04,NA,NA,NA,SARS-CoV-2/human/SRB/BT00V72-03-04/2020,Homo sapiens,oronasopharynx,04-DEC-2020,1
MW327515.1,Severe acute respiratory syndrome coronavirus 2,29782,2020/12/04,NA,NA,NA,SARS-CoV-2/human/SRB/SM01050-09-07/2020,Homo sapiens,oronasopharynx,04-DEC-2020,1
MW327532.1,Severe acute respiratory syndrome coronavirus 2,29782,2020/12/04,NA,NA,NA,SARS-CoV-2/human/SRB/SRB04305-17-04/2020,Homo sapiens,oronasopharynx,04-DEC-2020,1
MW321011.1,Severe acute respiratory syndrome coronavirus 2,29804,2020/12/03,NA,NA,NA,SARS-CoV-2/human/AUS/VIC15561/2020,Homo sapiens,NA,03-DEC-2020,1
MW327534.1,Severe acute respiratory syndrome coronavirus 2,29782,2020/12/05,NA,NA,NA,SARS-CoV-2/human/SRB/TI05964-23-04/2020,Homo sapiens,oronasopharynx,04-DEC-2020,1
MW404672.1,Severe acute respiratory syndrome coronavirus 2,29864,2020/12/24,NA,NA,NA,SARS-CoV-2/human/TUN/TUN-202063686/2020,Homo sapiens,nasopharyngeal swab,24-DEC-2020,1
MW404673.1,Severe acute respiratory syndrome coronavirus 2,29903,2020/12/24,NA,NA,NA,SARS-CoV-2/human/TUN/TUN-202019695/2020,Homo sapiens,nasopharyngeal swab,24-DEC-2020,1
MW405463.1,Severe acute respiratory syndrome coronavirus 2,29868,2020/12/24,NA,NA,NA,SARS-CoV-2/human/USA/VA-DCLS-2222/2020,Homo sapiens,NA,24-DEC-2020,1
MW406496.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/12/28,NA,NA,NA,SARS-CoV-2/human/USA/AL-CDC-2-3693782/2020,Homo sapiens,oronasopharynx,27-JUL-2021,1
MW406615.1,Severe acute respiratory syndrome coronavirus 2,29764,2020/12/28,NA,NA,NA,SARS-CoV-2/human/USA/OK-CDC-2-3693462/2020,Homo sapiens,oronasopharynx,27-JUL-2021,1
MW406537.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/12/28,NA,NA,NA,SARS-CoV-2/human/USA/IN-CDC-2-3693679/2020,Homo sapiens,oronasopharynx,27-JUL-2021,1
MW332962.1,Severe acute respiratory syndrome coronavirus 2,29782,2020/12/08,NA,NA,NA,SARS-CoV-2/human/USA/WI-UW-1846/2020,Homo sapiens,nasal swab,07-DEC-2020,1
MW345266.1,Severe acute respiratory syndrome coronavirus 2,29828,2020/12/08,NA,NA,NA,SARS-CoV-2/human/USA/MD-MDH-0449/2020,Homo sapiens,throat swab,08-DEC-2020,1
MW345275.1,Severe acute respiratory syndrome coronavirus 2,29821,2020/12/08,NA,NA,NA,SARS-CoV-2/human/USA/MD-MDH-0458/2020,Homo sapiens,throat swab,08-DEC-2020,1
MW384421.1,Severe acute respiratory syndrome coronavirus 2,29809,2020/12/18,NA,NA,NA,SARS-CoV-2/human/USA/MD-MDH-0477/2020,Homo sapiens,throat swab,18-DEC-2020,1
MW375728.1,Severe acute respiratory syndrome coronavirus 2,29865,2020/12/18,NA,NA,NA,SARS-CoV-2/human/ESP/AST-232026126/2020,Homo sapiens,sputum,17-DEC-2020,1
MW332229.1,Severe acute respiratory syndrome coronavirus 2,29663,2020/12/06,NA,NA,NA,SARS-CoV-2/human/RUS/3663/2020,Homo sapiens,nasal swab,06-DEC-2020,1
MW332235.1,Severe acute respiratory syndrome coronavirus 2,29663,2020/12/06,NA,NA,NA,SARS-CoV-2/human/RUS/3573/2020,Homo sapiens,nasal swab,06-DEC-2020,1
MW332228.1,Severe acute respiratory syndrome coronavirus 2,29835,2020/12/06,NA,NA,NA,SARS-CoV-2/human/RUS/1011/2020,Homo sapiens,nasal swab,06-DEC-2020,1
MW332233.1,Severe acute respiratory syndrome coronavirus 2,29804,2020/12/06,NA,NA,NA,SARS-CoV-2/human/RUS/3080/2020,Homo sapiens,bronchi,06-DEC-2020,1
MW332227.1,Severe acute respiratory syndrome coronavirus 2,29663,2020/12/06,NA,NA,NA,SARS-CoV-2/human/RUS/1054/2020,Homo sapiens,nasal swab,06-DEC-2020,1
MW332232.1,Severe acute respiratory syndrome coronavirus 2,29834,2020/12/06,NA,NA,NA,SARS-CoV-2/human/RUS/2666/2020,Homo sapiens,nasal swab,06-DEC-2020,1
MW332230.1,Severe acute respiratory syndrome coronavirus 2,29663,2020/12/06,NA,NA,NA,SARS-CoV-2/human/RUS/3709/2020,Homo sapiens,nasal swab,06-DEC-2020,1
MW332234.1,Severe acute respiratory syndrome coronavirus 2,29698,2020/12/06,NA,NA,NA,SARS-CoV-2/human/RUS/3656/2020,Homo sapiens,trachea,06-DEC-2020,1
MW384424.1,Severe acute respiratory syndrome coronavirus 2,29819,2020/12/20,NA,NA,NA,SARS-CoV-2/human/USA/MD-MDH-0480/2020,Homo sapiens,throat swab,18-DEC-2020,1
MW384423.1,Severe acute respiratory syndrome coronavirus 2,29868,2020/12/20,NA,NA,NA,SARS-CoV-2/human/USA/MD-MDH-0479/2020,Homo sapiens,nasal swab,18-DEC-2020,1
MW384415.1,Severe acute respiratory syndrome coronavirus 2,29822,2020/12/20,NA,NA,NA,SARS-CoV-2/human/USA/MD-MDH-0471/2020,Homo sapiens,throat swab,18-DEC-2020,1
MW384425.1,Severe acute respiratory syndrome coronavirus 2,29901,2020/12/20,NA,NA,NA,SARS-CoV-2/human/USA/MD-MDH-0481/2020,Homo sapiens,throat swab,18-DEC-2020,1
MW386175.1,Severe acute respiratory syndrome coronavirus 2,29860,2020/12/20,NA,NA,NA,SARS-CoV-2/human/USA/CA-LACPHL-AB00002/2020,Homo sapiens,NA,18-DEC-2020,1
MW384419.1,Severe acute respiratory syndrome coronavirus 2,29828,2020/12/20,NA,NA,NA,SARS-CoV-2/human/USA/MD-MDH-0475/2020,Homo sapiens,throat swab,18-DEC-2020,1
MW384414.1,Severe acute respiratory syndrome coronavirus 2,29819,2020/12/20,NA,NA,NA,SARS-CoV-2/human/USA/MD-MDH-0470/2020,Homo sapiens,Anterior nare,18-DEC-2020,1
MW384426.1,Severe acute respiratory syndrome coronavirus 2,29866,2020/12/20,NA,NA,NA,SARS-CoV-2/human/USA/MD-MDH-0482/2020,Homo sapiens,nasopharyngeal swab,18-DEC-2020,1
MW362554.1,Severe acute respiratory syndrome coronavirus 2,29894,2020/12/14,NA,NA,NA,SARS-CoV-2/human/TUN/TUN-20205008/2020,Homo sapiens,nasopharyngeal swab,14-DEC-2020,1
MW362553.1,Severe acute respiratory syndrome coronavirus 2,29902,2020/12/14,NA,NA,NA,SARS-CoV-2/human/TUN/TUN-202061689/2020,Homo sapiens,nasopharyngeal swab,14-DEC-2020,1
MW420319.1,Severe acute respiratory syndrome coronavirus 2,29781,2020/12/30,NA,NA,NA,SARS-CoV-2/human/USA/UT-UPHL-2012322333/2020,Homo sapiens,NA,30-DEC-2020,1
MW420728.1,Severe acute respiratory syndrome coronavirus 2,29781,2020/12/30,NA,NA,NA,SARS-CoV-2/human/USA/UT-UPHL-2012809254/2020,Homo sapiens,NA,30-DEC-2020,1
MW420110.1,Severe acute respiratory syndrome coronavirus 2,29781,2020/12/30,NA,NA,NA,SARS-CoV-2/human/USA/UT-UPHL-2012071943/2020,Homo sapiens,NA,30-DEC-2020,1
MW390862.1,Severe acute respiratory syndrome coronavirus 2,29823,2020/12/23,NA,NA,NA,SARS-CoV-2/human/USA/MN-MDH-2173/2020,Homo sapiens,nares,21-DEC-2020,1
MW403699.1,Severe acute respiratory syndrome coronavirus 2,29850,2020/12/23,NA,NA,NA,SARS-CoV-2/human/ITA/Nuoro-CoV40/2020,Homo sapiens,nasopharyngeal swab,23-DEC-2020,1
MT232677.1,Severe acute respiratory syndrome coronavirus 2,29782,2020/12/27,NA,NA,NA,SARS-CoV-2/human/HKG/34_3001/2020,Homo sapiens,NA,27-DEC-2020,1
MT232673.1,Severe acute respiratory syndrome coronavirus 2,29782,2020/12/27,NA,NA,NA,SARS-CoV-2/human/HKG/30_2901/2020,Homo sapiens,NA,27-DEC-2020,1
MT232675.1,Severe acute respiratory syndrome coronavirus 2,29782,2020/12/27,NA,NA,NA,SARS-CoV-2/human/HKG/32_0402/2020,Homo sapiens,NA,27-DEC-2020,1
MT232679.1,Severe acute respiratory syndrome coronavirus 2,29782,2020/12/27,NA,NA,NA,SARS-CoV-2/human/HKG/36_0702/2020,Homo sapiens,NA,27-DEC-2020,1
MW374917.1,Severe acute respiratory syndrome coronavirus 2,29860,2020/12/17,NA,NA,NA,SARS-CoV-2/human/USA/MN-MDH-2153/2020,Homo sapiens,nares,16-DEC-2020,1
MW374910.1,Severe acute respiratory syndrome coronavirus 2,29853,2020/12/16,NA,NA,NA,SARS-CoV-2/human/USA/MN-MDH-2160/2020,Homo sapiens,nares,16-DEC-2020,1
MW310446.1,Severe acute respiratory syndrome coronavirus 2,29857,2020/12/01,NA,NA,NA,SARS-CoV-2/human/USA/MD-MDH-0436/2020,Homo sapiens,nasal swab,01-DEC-2020,1
MW310438.1,Severe acute respiratory syndrome coronavirus 2,29839,2020/12/01,NA,NA,NA,SARS-CoV-2/human/USA/MD-MDH-0428/2020,Homo sapiens,nasopharyngeal swab,01-DEC-2020,1
MW310432.1,Severe acute respiratory syndrome coronavirus 2,29893,2020/12/01,NA,NA,NA,SARS-CoV-2/human/USA/MD-MDH-0422/2020,Homo sapiens,Anterior nares swab,01-DEC-2020,1
MW356671.1,Severe acute respiratory syndrome coronavirus 2,29826,2020/12/11,NA,NA,NA,SARS-CoV-2/human/TWN/CGMH-CGU-35/2020,Homo sapiens,nasopharyngeal swab,11-DEC-2020,1
LR883099.1,Severe acute respiratory syndrome coronavirus 2,29777,2021/01/25,NA,NA,monopartite,hCoV-19/Netherlands/NA_361/2020,Homo sapiens,NA,01-MAR-2021,1
MW520895.1,Severe acute respiratory syndrome coronavirus 2,29816,2021/01/25,NA,NA,NA,SARS-CoV-2/human/USA/MN-MDH-2370/2020,Homo sapiens,nasopharynx,03-NOV-2021,1
LR883239.1,Severe acute respiratory syndrome coronavirus 2,29778,2021/01/25,NA,NA,monopartite,hCoV-19/Netherlands/NA_391/2020,Homo sapiens,NA,01-MAR-2021,1
LR992116.1,Severe acute respiratory syndrome coronavirus 2,29897,2021/01/25,NA,NA,NA,NA,Homo sapiens,NA,05-MAR-2021,1
MW453084.1,Severe acute respiratory syndrome coronavirus 2,29826,2021/01/09,NA,NA,NA,SARS-CoV-2/human/MAR/FMP-26/2020,Homo sapiens,NA,09-JAN-2021,1
MW494127.1,Severe acute respiratory syndrome coronavirus 2,29885,2021/01/29,NA,NA,NA,SARS-CoV-2/human/Dominican Republic/UN-CDC-3952108-001/2020,Homo sapiens,anterior nasal swab,08-NOV-2021,1
MW545313.1,Severe acute respiratory syndrome coronavirus 2,29782,2021/01/29,NA,NA,gender: M; age: 63,SARS-CoV-2/human/USA/CA-QDX-3731/2021,Homo sapiens,patient specimen,29-JAN-2021,1
MW545289.1,Severe acute respiratory syndrome coronavirus 2,29782,2021/01/29,NA,NA,gender: M; age: 23,SARS-CoV-2/human/USA/CA-QDX-3703/2021,Homo sapiens,patient specimen,29-JAN-2021,1
MW545310.1,Severe acute respiratory syndrome coronavirus 2,29782,2021/01/29,NA,NA,gender: M; age: 41,SARS-CoV-2/human/USA/CA-QDX-3728/2021,Homo sapiens,patient specimen,29-JAN-2021,1
MW494125.1,Severe acute respiratory syndrome coronavirus 2,29897,2021/01/29,NA,NA,NA,SARS-CoV-2/human/USA/TN-CDC-3950685-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,1
MW521447.1,Severe acute respiratory syndrome coronavirus 2,29814,2021/01/26,NA,NA,NA,SARS-CoV-2/human/USA/1502xE7/2020,Homo sapiens,nasopharyngeal swab,26-JAN-2021,1
MW524016.1,Severe acute respiratory syndrome coronavirus 2,29854,2021/01/26,NA,NA,NA,SARS-CoV-2/human/USA/MD-MDH-0646/2021,Homo sapiens,nasopharyngeal swab,26-JAN-2021,1
MW521760.1,Severe acute respiratory syndrome coronavirus 2,29782,2021/01/26,NA,NA,gender: F; age: 79.0,SARS-CoV-2/human/USA/OH-QDX-3421/2020,Homo sapiens,patient specimen,26-JAN-2021,1
MW425741.1,Severe acute respiratory syndrome coronavirus 2,29866,2021/01/01,NA,NA,NA,SARS-CoV-2/human/USA/TX-DSHS-1807/2020,Homo sapiens,nasopharyngeal swab,01-JAN-2021,1
MW425720.1,Severe acute respiratory syndrome coronavirus 2,29818,2021/01/01,NA,NA,NA,SARS-CoV-2/human/USA/TX-DSHS-1797/2020,Homo sapiens,nasopharyngeal swab,01-JAN-2021,1
MW425851.1,Severe acute respiratory syndrome coronavirus 2,29850,2021/01/01,NA,NA,NA,SARS-CoV-2/human/USA/Wuhan-Hu-1/2020,Homo sapiens,stool,01-JAN-2021,1
MW453107.1,Severe acute respiratory syndrome coronavirus 2,29851,2021/01/10,NA,NA,NA,SARS-CoV-2/human/USA/CA-LACPHL-AF00090/2020,Homo sapiens,NA,19-AUG-2021,1
MW453115.1,Severe acute respiratory syndrome coronavirus 2,29836,2021/01/10,NA,NA,NA,SARS-CoV-2/human/USA/CA-LACPHL-AF00098/2020,Homo sapiens,NA,19-AUG-2021,1
MW453126.1,Severe acute respiratory syndrome coronavirus 2,29858,2021/01/10,NA,NA,NA,SARS-CoV-2/human/USA/CA-LACPHL-AF00106/2020,Homo sapiens,NA,19-AUG-2021,1
MW453121.1,Severe acute respiratory syndrome coronavirus 2,29859,2021/01/10,NA,NA,NA,SARS-CoV-2/human/USA/CA-LACPHL-AF00083/2020,Homo sapiens,NA,19-AUG-2021,1
MW491188.1,Severe acute respiratory syndrome coronavirus 2,29834,2021/01/19,NA,NA,NA,SARS-CoV-2/human/USA/FL-BPHL-2732/2020,Homo sapiens,NA,19-NOV-2021,1
MW490828.1,Severe acute respiratory syndrome coronavirus 2,29854,2021/01/19,NA,NA,NA,SARS-CoV-2/human/USA/FL-BPHL-2405/2020,Homo sapiens,NA,19-NOV-2021,1
MT860692.1,Severe acute respiratory syndrome coronavirus 2,29830,2021/01/19,NA,NA,NA,SARS-CoV-2/human/BGD/DNAS_DRICM_isl_EK-91/2020,Homo sapiens,Oropharyngeal swab,19-JAN-2021,1
MW491191.1,Severe acute respiratory syndrome coronavirus 2,29837,2021/01/19,NA,NA,NA,SARS-CoV-2/human/USA/FL-BPHL-2735/2020,Homo sapiens,NA,19-NOV-2021,1
MW446214.1,Severe acute respiratory syndrome coronavirus 2,29823,2021/01/07,NA,NA,NA,SARS-CoV-2/human/USA/MN-MDH-2224/2020,Homo sapiens,nasopharynx,07-JAN-2021,1
MW446229.1,Severe acute respiratory syndrome coronavirus 2,29826,2021/01/07,NA,NA,NA,SARS-CoV-2/human/USA/MN-MDH-2239/2020,Homo sapiens,NA,07-JAN-2021,1
MW447612.1,Severe acute respiratory syndrome coronavirus 2,29815,2021/01/07,NA,NA,NA,SARS-CoV-2/human/PAK/JRCGR-KHI07/2020,Homo sapiens,nasopharyngeal swab,20-JAN-2021,1
MW446210.1,Severe acute respiratory syndrome coronavirus 2,29832,2021/01/07,NA,NA,NA,SARS-CoV-2/human/USA/MN-MDH-2220/2020,Homo sapiens,lung,07-JAN-2021,1
MW483099.1,Severe acute respiratory syndrome coronavirus 2,29823,2021/01/15,NA,NA,NA,SARS-CoV-2/human/USA/MD-MDH-0543/2020,Homo sapiens,nasopharyngeal swab,15-JAN-2021,1
MW483104.1,Severe acute respiratory syndrome coronavirus 2,29830,2021/01/15,NA,NA,NA,SARS-CoV-2/human/USA/MD-MDH-0548/2020,Homo sapiens,nasal swab,15-JAN-2021,1
MW483234.1,Severe acute respiratory syndrome coronavirus 2,29818,2021/01/15,NA,NA,NA,SARS-CoV-2/human/USA/CA-CZB-10039/2020,Homo sapiens,Nasopharyngeal/oropharyngeal swab,15-JAN-2021,1
MW528795.1,Severe acute respiratory syndrome coronavirus 2,29782,2021/01/27,NA,NA,gender: F; age: 63,SARS-CoV-2/human/USA/CA-QDX-3785/2021,Homo sapiens,patient specimen,27-JAN-2021,1
MW528781.1,Severe acute respiratory syndrome coronavirus 2,29782,2021/01/27,NA,NA,gender: M; age: 35,SARS-CoV-2/human/USA/CA-QDX-3771/2021,Homo sapiens,patient specimen,27-JAN-2021,1
MW528819.1,Severe acute respiratory syndrome coronavirus 2,29782,2021/01/27,NA,NA,gender: M; age: 26,SARS-CoV-2/human/USA/CA-QDX-3810/2021,Homo sapiens,patient specimen,27-JAN-2021,1
MW530510.1,Severe acute respiratory syndrome coronavirus 2,29648,2021/01/27,NA,NA,NA,SARS-CoV-2/human/ITA/TUS-C44/2020,Homo sapiens,nasopharyngeal swab,27-JAN-2021,1
MW486292.1,Severe acute respiratory syndrome coronavirus 2,29782,2021/01/18,NA,NA,NA,SARS-CoV-2/human/USA/WI-UW-2560/2020,Homo sapiens,nasal swab,18-JAN-2021,1
MW486215.1,Severe acute respiratory syndrome coronavirus 2,29782,2021/01/18,NA,NA,NA,SARS-CoV-2/human/USA/WI-UW-2434/2020,Homo sapiens,nasal swab,18-JAN-2021,1
MW486216.1,Severe acute respiratory syndrome coronavirus 2,29782,2021/01/18,NA,NA,NA,SARS-CoV-2/human/USA/WI-UW-2435/2020,Homo sapiens,nasal swab,18-JAN-2021,1
MW485426.1,Severe acute respiratory syndrome coronavirus 2,29540,2021/01/16,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW-6722/2020,Homo sapiens,NA,13-JUN-2022,1
MW322968.1,Severe acute respiratory syndrome coronavirus 2,29903,2021/01/06,NA,NA,NA,SARS-CoV-2/human/FRA/FRA_WGS157/2020,Homo sapiens,induced sputum,06-JAN-2021,1
MW495938.1,Severe acute respiratory syndrome coronavirus 2,29803,2021/01/21,NA,NA,NA,SARS-CoV-2/human/USA/MN-CDC-2-3714271/2020,Homo sapiens,oronasopharynx,27-JUL-2021,1
MW495960.1,Severe acute respiratory syndrome coronavirus 2,29786,2021/01/21,NA,NA,NA,SARS-CoV-2/human/USA/MT-CDC-2-3714260/2020,Homo sapiens,oronasopharynx,27-JUL-2021,1
MW493678.1,Severe acute respiratory syndrome coronavirus 2,29831,2021/01/21,NA,NA,GISAID: EPI_ISL_831921,SARS-CoV-2/human/USA/NMDOH-2021012908/2021,Homo sapiens,nasopharyngeal swab,20-JAN-2021,1
MW365071.1,Severe acute respiratory syndrome coronavirus 2,29706,2021/01/23,NA,NA,NA,SARS-CoV-2/human/CHL/Santiago-PUC_MVL_0280/2020,Homo sapiens,nasal swab,22-JAN-2021,1
MW365281.1,Severe acute respiratory syndrome coronavirus 2,29718,2021/01/23,NA,NA,NA,SARS-CoV-2/human/CHL/Santiago-op24d6/2020,Homo sapiens,sputum,22-JAN-2021,1
MW505179.1,Severe acute respiratory syndrome coronavirus 2,29782,2021/01/23,NA,NA,gender: F; age: 16,SARS-CoV-2/human/USA/CA-QDX-3209/2020,Homo sapiens,patient specimen,22-JAN-2021,1
MW365175.1,Severe acute respiratory syndrome coronavirus 2,29724,2021/01/23,NA,NA,NA,SARS-CoV-2/human/CHL/Santiago-PUC_MVL_0027/2020,Homo sapiens,nasal swab,22-JAN-2021,1
MW544902.1,Severe acute respiratory syndrome coronavirus 2,29873,2021/01/30,NA,NA,NA,SARS-CoV-2/human/USA/MD-MDH-0682/2021,Homo sapiens,nasopharyngeal swab,29-JAN-2021,1
MW539974.1,Severe acute respiratory syndrome coronavirus 2,29814,2021/01/30,NA,NA,EPI_ISL_692897,SARS-CoV-2/human/USA/MA-MASPHL-00803/2020,Homo sapiens,nasopharyngeal swab,28-JAN-2021,1
MW454547.1,Severe acute respiratory syndrome coronavirus 2,29903,2021/01/11,NA,NA,NA,SARS-CoV-2/human/USA/MA-MGH-02809/2020,Homo sapiens,clinical,11-JAN-2021,1
MW454469.1,Severe acute respiratory syndrome coronavirus 2,29822,2021/01/11,NA,NA,GISAID: EPI_ISL_767075,SARS-CoV-2/human/USA/NMDOH-2020642977/2020,Homo sapiens,Nasopharyngeal swab,26-FEB-2021,1
MW454566.1,Severe acute respiratory syndrome coronavirus 2,29903,2021/01/11,NA,NA,NA,SARS-CoV-2/human/USA/MA-MGH-02953/2020,Homo sapiens,clinical,11-JAN-2021,1
MW454524.1,Severe acute respiratory syndrome coronavirus 2,29903,2021/01/11,NA,NA,NA,SARS-CoV-2/human/USA/MA-MGH-02755/2020,Homo sapiens,clinical,11-JAN-2021,1
MW454462.1,Severe acute respiratory syndrome coronavirus 2,29849,2021/01/11,NA,NA,GISAID: EPI_ISL_767069,SARS-CoV-2/human/USA/NMDOH-2020642451/2020,Homo sapiens,Nasopharyngeal swab,26-FEB-2021,1
MW454692.1,Severe acute respiratory syndrome coronavirus 2,29813,2021/01/11,NA,NA,NA,SARS-CoV-2/human/USA/MA-MGH-03370/2020,Homo sapiens,clinical,11-JAN-2021,1
MW600283.1,Severe acute respiratory syndrome coronavirus 2,29884,2021/02/15,NA,NA,NA,SARS-CoV-2/human/USA/OH-UHTL-25/2021,Homo sapiens,Nasopharygeal swab,15-FEB-2021,1
MW600282.1,Severe acute respiratory syndrome coronavirus 2,29884,2021/02/15,NA,NA,NA,SARS-CoV-2/human/USA/OH-UHTL-24/2021,Homo sapiens,Nasopharygeal swab,15-FEB-2021,1
MW600281.1,Severe acute respiratory syndrome coronavirus 2,29884,2021/02/15,NA,NA,NA,SARS-CoV-2/human/USA/OH-UHTL-23/2021,Homo sapiens,Nasopharygeal swab,15-FEB-2021,1
MW600280.1,Severe acute respiratory syndrome coronavirus 2,29884,2021/02/15,NA,NA,NA,SARS-CoV-2/human/USA/OH-UHTL-22/2021,Homo sapiens,Nasopharygeal swab,15-FEB-2021,1
MW566851.1,Severe acute respiratory syndrome coronavirus 2,29841,2021/02/04,NA,NA,NA,SARS-CoV-2/human/USA/FL-BPHL-2888/2020,Homo sapiens,NA,19-NOV-2021,1
MW566909.1,Severe acute respiratory syndrome coronavirus 2,29812,2021/02/04,NA,NA,NA,SARS-CoV-2/human/USA/FL-BPHL-2946/2020,Homo sapiens,NA,19-NOV-2021,1
MW565173.1,Severe acute respiratory syndrome coronavirus 2,29850,2021/02/04,NA,NA,NA,SARS-CoV-2/human/USA/CA-CZB-14818/2020,Homo sapiens,Nasopharyngeal/oropharyngeal swab,04-FEB-2021,1
MW565634.1,Severe acute respiratory syndrome coronavirus 2,29836,2021/02/04,NA,NA,NA,SARS-CoV-2/human/USA/CA-CZB-13966/2020,Homo sapiens,Nasopharyngeal/oropharyngeal swab,04-FEB-2021,1
MW583421.1,Severe acute respiratory syndrome coronavirus 2,29903,2021/02/16,NA,NA,NA,SARS-CoV-2/human/USA/GA-CDC-3974560-001/2020,Homo sapiens,nasopharyngeal swab,23-SEP-2021,1
MW662149.1,Severe acute respiratory syndrome coronavirus 2,29755,2021/02/25,NA,NA,NA,SARS-CoV-2/human/GHA/nmimr-SARS-CoV-2-TRA- 196/2021,Homo sapiens,oro- and nasopharyngeal,25-FEB-2021,1
